age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,age_group,probabilidad_exito
30,student,single,professional.course,no,yes,no,cellular,sep,tue,2,6,1,success,-1.1,94.199,-37.5,0.88,4963.6,Joven,0.9589086153171674
53,blue-collar,married,high.school,unknown,yes,no,cellular,apr,mon,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,Maduro,0.5662654081785109
25,admin.,single,university.degree,no,yes,yes,cellular,may,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,Joven,0.5296280144476693
46,admin.,single,high.school,no,yes,no,cellular,nov,mon,2,999,2,failure,-1.1,94.767,-50.8,1.048,4963.6,Maduro,0.7182866460744628
35,unemployed,married,professional.course,no,yes,yes,cellular,dec,thu,3,999,1,failure,-3.0,92.713,-33.0,0.707,5023.5,Adulto,0.7794884903411465
56,management,married,basic.6y,no,yes,no,cellular,jun,tue,1,7,2,success,-1.7,94.055,-39.8,0.723,4991.6,Maduro,0.933911810664461
30,services,single,university.degree,no,yes,no,telephone,sep,mon,1,999,0,nonexistent,-1.1,94.199,-37.5,0.882,4963.6,Joven,0.6882783323219593
32,management,single,university.degree,no,yes,no,cellular,mar,mon,2,999,0,nonexistent,-1.8,92.843,-50.0,1.703,5099.1,Adulto,0.8365059410253162
36,technician,single,high.school,no,yes,no,cellular,jul,wed,1,999,1,failure,-2.9,92.469,-33.6,1.029,5076.2,Adulto,0.714247660839546
29,admin.,single,university.degree,no,no,no,cellular,apr,thu,2,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,Joven,0.712170184858121
44,blue-collar,single,professional.course,no,no,no,cellular,mar,mon,1,999,0,nonexistent,-1.8,92.843,-50.0,1.811,5099.1,Adulto,0.8286959579742106
34,admin.,divorced,high.school,no,yes,yes,cellular,apr,fri,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,Adulto,0.628071628273429
51,admin.,single,university.degree,no,yes,yes,cellular,jun,fri,2,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,Maduro,0.8248719016129485
85,retired,married,basic.4y,no,no,no,cellular,apr,mon,1,999,0,nonexistent,-1.8,93.075,-47.1,1.392,5099.1,Senior,0.7304285586051772
55,management,married,university.degree,no,yes,no,cellular,nov,wed,1,999,1,failure,-3.4,92.649,-30.1,0.716,5017.5,Maduro,0.7706587840966193
37,admin.,single,university.degree,no,no,no,cellular,oct,fri,2,999,0,nonexistent,-3.4,92.431,-26.9,0.72,5017.5,Adulto,0.8663255878210103
46,admin.,married,high.school,no,yes,no,cellular,oct,wed,1,999,0,nonexistent,-3.4,92.431,-26.9,0.724,5017.5,Maduro,0.8650566501964946
28,admin.,single,university.degree,no,yes,no,cellular,jun,fri,1,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,Joven,0.8400524566226037
25,blue-collar,single,basic.9y,no,no,no,cellular,mar,thu,2,10,2,success,-1.8,93.369,-34.8,0.654,5008.7,Joven,0.9744192613675537
36,admin.,single,university.degree,no,yes,no,cellular,oct,wed,1,2,2,success,-3.4,92.431,-26.9,0.742,5017.5,Adulto,0.9635310592297195
27,services,single,university.degree,no,yes,no,cellular,apr,thu,1,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,Joven,0.6906361144361813
